Rank|ChatMessage
Silver|game stop my clutch team wp nice
Bronze|bro you thrower
Silver|team the game are clean
Bronze|game team noob
Gold|ez useless bro garbo are play
Gold|game you save clutch good bro play
Celestial|play mid bro the ez
Silver|game garbo uninstall suck team
Platinum|mid my nice
Gold|game afk play stop
Gold|the useless bro
Gold|my team suck play you noob
Grandmaster|the team clean glhf nice mid my
Diamond|bro stop my afk game
Silver|are trash team thrower diff
Silver|my nice glhf bro
Silver|game gg mb the my play clean
Gold|ez game trash garbo bro mid are
Gold|glhf mid are you the
Gold|are thrower report quit mid
Diamond|stop suck bro the
Bronze|gg bro are glhf the mb
Bronze|team diff the bro my
Gold|afk ez mid you quit
Platinum|team clean clutch mid good
Silver|stop garbo report team you
Gold|are you game clutch clean play
Silver|are suck play my bro
Silver|stop useless garbo my suck are
Platinum|bro good my nice game the mb
Bronze|you mid team uninstall the
Silver|the you nice my clean
Gold|thrower team trash my you
Silver|ez bro stop garbage team play
Silver|game mid garbage suck team play
Gold|mid ez thrower noob stop
Bronze|uninstall garbage play mid bro team quit
Gold|bot mid stop afk useless you game
Platinum|play the clutch mb are my glhf
Silver|you are the garbage play uninstall report
Grandmaster|thrower garbo bro mid
Silver|the stop mid glhf
Silver|stop garbo play my
Bronze|play bro thrower the
Silver|the quit you report my bro
Silver|play save clean stop wp
Gold|trash are stop noob bro
Platinum|are game you the ez
Silver|garbo you report are the my
Silver|team glhf save bro
Silver|report team useless the bot
Gold|game diff team you
Bronze|good glhf team the clean
Bronze|team garbo suck are
Silver|game save you
Grandmaster|uninstall garbo you team
Gold|mid are noob
Gold|you gg clean mid nice
Silver|are quit report bro my the
Gold|are gg mid good clean game
Gold|are good wp nice my
Bronze|thrower game bro you
Platinum|play quit game are
Platinum|are diff noob stop
Gold|save team bro
Gold|bro my team afk stop
Silver|diff noob game team
Silver|you report garbo useless stop
Gold|thrower ez game mid quit
Gold|diff bro useless you
Silver|play save mid bro are nice
Gold|my play mid team useless
Grandmaster|you bro my clean good stop
Gold|diff play my
Platinum|the diff game my you
Platinum|nice are clutch play
Gold|mid team my report quit you bot
Silver|my quit game
Bronze|stop useless mid bro you
Gold|noob useless ez bro game are
Platinum|you game ez the thrower
Silver|my you glhf mb
Diamond|quit team are ez the garbo
Platinum|ez the game
Silver|are gg good glhf mid game you
Silver|game my afk mid diff
Gold|good play my clean
Platinum|game are garbo noob
Celestial|game you wp nice play the gg
Platinum|bot bro useless game
Gold|play clutch bro stop are
Gold|nice mb glhf bro my
Gold|you quit noob mid
Silver|game the ez
Silver|thrower quit the mid
Bronze|you garbage play game ez
Gold|bro wp game nice mb
Gold|nice mid wp stop
Grandmaster|garbo suck are useless team the my
Bronze|the thrower play stop trash you garbo
Diamond|afk team are bro my suck
Platinum|my game the gg you
Bronze|garbo you team suck mid game
Gold|the trash quit diff team game stop
Diamond|bot bro you
Gold|game bot stop bro
Silver|bro garbage stop bot uninstall
Silver|are my useless
Silver|team mb game the save bro
Gold|you glhf are my
Platinum|team are bot
Bronze|garbo mid you play
Diamond|my garbo the are mid garbage thrower
Silver|team mid stop uninstall
Bronze|trash my thrower mid game are
Gold|nice bro clutch gg stop team
Platinum|diff quit you game
Silver|mid good my bro you wp gg
Diamond|the glhf play mid game
Platinum|team game you good
Diamond|stop game are bro afk
Platinum|my diff the
Platinum|wp you stop
Bronze|useless mid uninstall garbo are
Platinum|uninstall team bro game
Silver|suck game the are trash report
Gold|bro game bot the thrower team ez
Silver|bro are diff the
Gold|stop the clutch
Diamond|garbage uninstall the game ez
Gold|game you garbage are afk trash
Grandmaster|save clean you wp my mid play
Bronze|mid my uninstall game useless quit
Bronze|team useless afk play ez
Platinum|stop are glhf my
Gold|afk suck the play game stop
Silver|the bro team bot stop trash thrower
Platinum|you the stop clean bro
Bronze|diff mid play
Diamond|team the garbage ez
Gold|trash the you
Gold|bro clean you stop my
Diamond|afk stop you are
Grandmaster|thrower you the team
Silver|you team bro glhf clutch
Platinum|play save team glhf gg my
Diamond|game team suck report afk
Gold|you my bot
Silver|game afk play are quit
Bronze|my stop mid bot are
Platinum|are good stop gg play clean bro
Diamond|thrower mid play
Gold|trash quit bro suck are
Gold|thrower stop you my team trash
Bronze|garbo trash team the
Gold|mid game good gg stop glhf team
Platinum|quit are my stop
Silver|you clean play good my mb
Bronze|are team garbage play useless
Silver|bro game garbage quit
Platinum|suck game my are garbage the
Bronze|the play clean my
Silver|mid stop report team
Platinum|uninstall bot the useless are
Grandmaster|stop mid garbage
Silver|garbo bot bro the my
Silver|team stop mb game clean nice
Gold|clean my team are
Silver|are suck bot mid game team
Diamond|afk stop game bro report
Silver|my are mid the wp
Gold|play game my team save
Grandmaster|stop play you noob useless my
Bronze|ez team mid quit are
Diamond|bot stop ez are team
Platinum|team thrower bro report
Gold|bro my uninstall are mid
Platinum|garbage suck report game team
Diamond|clutch my mb glhf you
Silver|mb gg you bro
Gold|mid afk play thrower stop are
Silver|glhf the nice team
Silver|noob useless game play trash
Platinum|gg the bro play
Silver|bot the my garbo stop
Diamond|stop noob my
Silver|game bro clutch
Gold|bot stop quit play suck
Platinum|nice game team mb
Grandmaster|thrower trash game mid
Grandmaster|are bro you diff team report
Platinum|clean mb team stop
Diamond|the stop uninstall bro
Bronze|mid the afk are stop garbo
Platinum|trash you my play
Silver|game mid thrower you stop
Silver|clean the mb mid gg team play
Bronze|game quit report bro
Grandmaster|useless bro trash you afk stop
Gold|garbo play thrower game garbage you
Silver|thrower play suck quit mid
Silver|game mb wp bro
Bronze|clutch wp my nice stop
Gold|bro wp my team nice mb play
Gold|my play gg good are
Gold|play clutch you team gg stop
Platinum|you my play glhf nice are wp
Gold|are stop my bot report
Silver|afk are play
Bronze|you wp team clutch stop bro
Gold|bro play thrower bot diff
Bronze|you team are gg
Gold|good team you are play
Silver|wp play mid glhf
Bronze|diff uninstall afk are stop mid play
Platinum|afk quit my you
Bronze|bro team mb
Bronze|mb you mid stop are
Bronze|you bro afk mid are report
Gold|are bro stop good you
Gold|team glhf bro game save good my
Gold|team you diff game play
Gold|my mb you mid
Diamond|uninstall you thrower team quit play are
Gold|stop the afk useless team diff
Gold|you my are ez team
Grandmaster|bro you useless report noob play
Diamond|game nice wp my mid play
Grandmaster|garbo stop bro garbage team report
Platinum|team you mid diff play uninstall
Gold|mb clutch mid glhf bro
Gold|afk bro play noob ez
Platinum|report mid the play
Gold|glhf save game the
Gold|you diff game bro
Platinum|team diff game stop bro trash
Bronze|my are ez stop you thrower diff
Bronze|the afk report you team quit bro
Gold|mid trash are useless you quit
Gold|mid team save game good
Gold|team bro play save clutch
Platinum|my afk are stop report
Diamond|bro glhf mb wp play are
Diamond|game play team suck quit trash my
Gold|game play gg bro
Gold|my save mid game
Platinum|are my you ez
Silver|bro glhf mid gg mb are
Diamond|bro suck team
Silver|mid bro clutch game are
Gold|team play game useless bro
Bronze|team play thrower afk bro noob mid
Silver|are trash useless quit the
Silver|you team ez garbage play trash
Gold|you play mb my save
Gold|useless afk game are uninstall my play
Platinum|clean game stop nice mb are you
Silver|team play ez thrower mid bot my
Platinum|glhf mid clutch you play good the
Bronze|you good play the mid
Gold|garbage noob the mid you
Bronze|mid you bot game bro
Bronze|trash garbage are my
Gold|garbage you the ez noob
Silver|play diff you quit
Bronze|team diff my you suck play
Silver|the trash play
Grandmaster|noob my team
Diamond|bro play stop clutch nice team
Gold|glhf save play are clean game
Silver|my wp play team
Bronze|good stop the my play
Silver|stop gg are clean nice the mid
Gold|game diff my bot are useless you
Gold|my are nice the mid clutch
Silver|my team stop trash
Gold|game you report trash diff play the
Platinum|you the save good game mid
Silver|team save bro
Diamond|gg team mb you mid the
Bronze|my bro nice
Bronze|glhf good clutch mid game
Gold|you team stop nice
Gold|diff play stop the trash
Gold|bro noob are stop game
Gold|ez quit my the noob bro
Silver|clean good you the save
Bronze|afk my play mid bro
Silver|you game play clean stop good
Silver|bot team stop bro the garbage
Gold|useless bot play are game
Silver|report mid bro quit
Silver|stop suck diff are team ez
Silver|game play mid my ez
Silver|mid play bot
Bronze|bro uninstall stop are quit trash
Silver|afk diff are you report
Silver|gg good mid play save stop
Platinum|game my garbage
Grandmaster|garbage game team stop
Silver|afk report mid quit bro game
Silver|useless mid you
Silver|play ez bro suck bot
Grandmaster|bro good you
Gold|nice you mid
Silver|play you afk mid
Bronze|you good are
Bronze|my bro useless diff uninstall
Silver|are my gg team
Gold|you team report uninstall the mid
Gold|diff the thrower you afk mid stop
Gold|my clutch bro are gg wp
Gold|trash afk mid are team bro
Gold|are gg mb my game the clutch
Silver|game afk mid are thrower
Diamond|my are afk play stop garbo
Silver|report the are bot
Diamond|mid bot suck the noob are team
Gold|team bro glhf gg
Silver|stop trash play report bot
Silver|team ez are garbage
Gold|bro mb team play
Platinum|my stop game quit bot uninstall
Silver|stop mb game mid the
Grandmaster|useless team suck stop the
Silver|game quit my team stop
Silver|bro play noob
Bronze|play my garbage useless
Diamond|team mid bot
Silver|good bro play team you wp
Platinum|are game garbo bro garbage report
Silver|thrower bot afk mid bro my
Diamond|thrower mid trash play are
Silver|clean glhf bro nice my
Silver|nice the my gg
Grandmaster|stop the thrower
Platinum|bro team gg glhf
Gold|team stop the play report quit ez
Silver|clutch good gg you team
Platinum|mid team gg wp stop you
Silver|the mid you garbo diff team
Bronze|are play the suck garbo
Silver|mid play mb the
Gold|report bro quit uninstall game stop
Silver|mid wp glhf are game clean team
Gold|nice game gg mid mb
Diamond|garbage uninstall you mid suck game team
Grandmaster|team the bro good gg glhf
Silver|my wp stop good clutch bro play
Platinum|team bro good
Silver|clean wp mid glhf the team
Gold|nice mb bro good play
Gold|you clean play the
Platinum|good bro mid the
Bronze|mid team uninstall play you
Gold|garbage thrower stop bot game mid
Silver|nice save the play you
Bronze|garbo noob ez are team mid
Gold|wp mid team
Gold|are bot game stop my
Gold|are wp my
Bronze|you ez are my bro afk noob
Platinum|trash garbage team bro my game thrower
Platinum|are play garbage my
Platinum|nice play team you are
Bronze|bot the diff garbo play
Silver|thrower bot you ez stop are
Platinum|are glhf save you play team
Celestial|are my clean save glhf
Gold|play team mb gg
Gold|stop trash play quit
Silver|my trash you report play stop
Bronze|bro mid noob
Gold|stop team save mb you clutch bro
Diamond|you play trash
Bronze|afk stop you are useless
Silver|the garbo thrower game play are trash
Gold|mid good play game team
Silver|suck play my
Bronze|trash mid afk diff you
Diamond|play useless bro afk noob
Silver|my the thrower you diff
Bronze|game ez the mid
Silver|thrower uninstall you game
Diamond|gg team play my
Gold|ez uninstall suck game bro you
Bronze|you game mb gg mid
Gold|useless diff bro are suck
Gold|mid team wp nice
Bronze|play save you bro team
Platinum|game bro trash play are
Platinum|the are clutch play clean wp
Gold|bro my good mid glhf stop
Silver|noob you diff my play
Bronze|gg game wp my bro glhf
Grandmaster|uninstall ez my thrower team
Gold|wp clean stop bro save you are
Silver|the are uninstall play noob
Bronze|bro team quit
Diamond|team bot my useless you play
Silver|game mb my mid play
Gold|glhf wp mid game clean
Diamond|quit play the my
Silver|save game nice play stop
Platinum|glhf team good stop my play clutch
Silver|game trash my bot thrower stop
Gold|you save clean clutch stop
Silver|diff the team suck bro stop
Silver|team stop afk
Platinum|team game noob stop thrower bro
Gold|play glhf clutch clean mid team
Diamond|report you bot suck are
Diamond|you ez mid play suck are
Platinum|are suck uninstall stop the garbo
Bronze|are you ez
Gold|game afk play my garbo
Gold|wp team mid the clutch
Silver|game my bro garbo afk
Silver|clutch good the gg game stop play
Silver|afk play the my bro
Diamond|garbo game my trash
Gold|mid game bot garbo noob stop are
Gold|clutch good my team game
Grandmaster|mid the ez
Platinum|afk team trash are bro mid
Platinum|save bro play team nice stop gg
Bronze|team garbage afk stop uninstall
Bronze|bro you garbo my bot
Grandmaster|my ez the you are
Diamond|thrower stop bro noob
Silver|team bro diff report the afk
Gold|noob bot game bro
Silver|my the garbage are
Gold|are clutch gg nice you
Gold|the my are save team gg
Bronze|game uninstall team play
Silver|afk are noob thrower play
Gold|team stop clutch are you
